Derelys Perdue
Julio Perillán
Anthony Perkins
Perry Pirkanen
Luke Perry
Miss Coco Peru
Joe Pesci
Gabriella Pession
Andy Pessoa
Cassandra Peterson
Donald Petrie
Marisa Petroro
Madison Pettis
Mary Philbin
Busy Philipps
Sally Phipps
Satine Phoenix
Jack Pickford
Mary Pickford
Charles Pierce
David Hyde Pierce
Rob Pinkston
Ryan Pinkston
Minerva Pious
Piper Perabo
ZaSu Pitts
Laura La Plante
Suzanne Pleshette
Amos Poe
Portland Hoffa
Tom Poston
Annie Potts
Ely Pouget
CCH Pounder
Eleanor Powell
Glen Powell
Dave Power
Stefanie Powers
Kelly Preston
Robert Preston
Wayde Preston
Keli Price
Victoria Principal
Freddie Prinze
Freddie Prinze, Jr.
Priscilla Barnes
Robert Prosky
Juliet Prowse
Richard Pryor
Fátima Ptacek
Edna Purviance
Shawn Pyfrom
Dennis Quaid
Molly Quinn
Jesse Rutherford
Rachele Brooke Smith
Alan Rachins
Michael Rady
Lee Radziwill
George Raft
Rags Ragland
John Raitt
Mary Lynn Rajskub
Dack Rambo
Natacha Rambova
Addison Randall
Randle Mell
Lillian Randolph
Gilman Rankin
Andrew Scott Rannells
Raoul Trujillo
Jim Rash
Ellington Lee Ratliff
Charlie Ray
Gene Raymond
James Read
Reagan Gomez-Preston
Ronald Reagan
Teal Redmann
Alison Reed
Jerry Reed
Della Reese
Dana Reeve
George Reeves
Steve Reeves
Regina Hall
Judge Reinhold
Duncan Renaldo
Rene Lavan
Brad Renfro
Renée O'Connor
Dorothy Revier
Judy Reyes
Vera Reynolds
Kim Rhodes
Jack Rice
Frances Rich
Irene Rich
Richard DeManincor
Denise Richards
Michael Richards
Cameron Richardson
Kevin Michael Richardson
Lucille Ricksen
Mona Rico
Ron Rifkin
Riker Lynch
Blanche Ring
Cyril Ring
Kelly Ripa
Tex Ritter
Mark Ritts
Layla Rivera
Adrian R'Mante
Robert Earl Jones
Robert Rodat
Lyda Roberti
Roberts Blossom
Leonard Roberts
Giselle Roberts
Cliff Robertson
Dale Robertson
Paul Robeson
Robia La Morte
Lisa Robin Kelly
Robin Meloy
Holly Robinson Peete
Edward G. Robinson
Gertrude Robinson
Rod La Rocque
Génesis Rodríguez
Daniel Roebuck
Charles Rogers
Will Rogers, Jr.
Will Rogers
Romy Rosemont
Ron Eldard
Ronnie Schell
Michael Rooker
Rooney Mara
Tim Rooney
Hayden Rorke
Jessica Lee Rose
Rosemary Lane
Diana Ross
Maggie Roswell
Brandon Routh
Roy Roberts
Zelda Rubinstein
Dick Rude
Maya Rudolph
Sara Rue
Charles Ruggles
Wesley Ruggles
Barbara Ruick
Melville Ruick
Anthony Ruivivar
Olesya Rulin
Keri Russell
Regina Russell
Kelly Rutherford
Ryan McPartlin
Ryan Rottman
Pat Ryan
Peggy Ryan
Sheila Ryan
Mark Rydell
S. Scott Bullock
Jill St. John
Marin Sais
Benjamin Salisbury
Samantha Phillips
Daniel Samonas
Will Sampson
Kiele Sanchez
Summer Sanders
Horatio Sanz
Chris Sarandon
Peter Sarsgaard
Saundra Santiago
Telly Savalas
Saverio Guerra
Allison Scagliotti
Scatman Crothers
Anne Schedeen
Roy Scheider
Lou Scheimer
Richard Schiff
Kevin Schmidt
Eliza Schneider
Robert C. Schnitzer
Paul Schrier
Dwight Schultz
Scott Caan
Scott Wolf
Randolph Scott
Tom Everett Scott
Zachary Scott
Franklyn Seales
Seamus Dever
Jean Seberg
Jon Seda
Edie Sedgwick
Jerry Seinfeld
Ivan Sergei
Amanda Setton
Atticus Shaffer
Shane Black
Donald Shanks
Molly Shannon
Peggy Shannon
Shaun Toub
Lindsey Shaw
Shawn Hatosy
Wallace Shawn
Charlotte Shelby
Margaret Shelby
Gene Sheldon
Justin Shenkarow
Sam Shepard
Vonda Shepard
Jean Shepherd
Eden Sher
Ann Sheridan
Liz Sheridan
Rondell Sheridan
Brooke Shields
Marion Shilling
Armin Shimerman
Marian Shockley
Jake Short
Rachel Sibner
Gregory Sierra
Sid Silvers
Ginny Simms
Penny Singleton
Siobhan Fallon Hogan
Jeremy Sisto
Emil Sitka
Skylar Astin
Skyler Shaye
Max Elliott Slade
Jeremy Slate
Martha Sleeper
Phillips Smalley
J. Scott Smart
Brian J. Smith
Afton Smith
Kevin Smith
Sonya Smith
Willow Smith
Kerr Smith
Jan Smithers
Leelee Sobieski
Gale Sondergaard
Quintin Sondergaard
Soon-Tek Oh
Kevin Sorbo
Ann Sothern
Talisa Soto
Hal Sparks
Wendie Jo Sperber
Austin St. John
Mathew St. Patrick
Robert Stack
John Stamos
Louise Stanley
Jean Stapleton
Amy Steel
Lisa Stelly
Stephanie Beatriz
Sterling Beaumon
Mindy Sterling
Daniel Stern
Howard Stern
Tom Stern
Steve E. De Souza
K. T. Stevens
Amber Stevens
Craig Stevens
Fisher Stevens
Pat Stevens
French Stewart
Anita Stewart
Lynne Marie Stewart
Margo Stilley
Eric Stoltz
Lee Stone
Adam Storke
Gale Storm
James Storm
Madeleine Stowe
David Strathairn
David Strickland
Sally Struthers
Iris Stuart
James Patrick Stuart
Stephen Stucker
Skipp Sudduth
Jenny Sullivan
Kyle Sullivan
Jacqueline Susann
Kristine Sutherland
Victor Sutherland
Julia Sweeney
Dolph Sweet
Jesse Swenson
Terrence Mann
George Takei
Chris Tallman
Patricia Tallman
Eva Tamargo
Danny Tamberelli
Akim Tamiroff
Sharon Tate
Channing Tatum
Anatole Taubman
Christopher Tavarez
Shawn Taylor
Ruth Taylor
Brianna Taylor
Dub Taylor
Jack Taylor
Laurette Taylor
Ron Taylor
Blair Tefkin
Shirley Temple
Teri McMinn
Studs Terkel
Alice Terry
Michael Grant Terry
Thad Luckinbill
Russell William Thaw
Maria Thayer
Iqbal Theba
Robin Thicke
Betty Thomas
Danny Thomas
Olive Thomas
Philip Michael Thomas
Marshall Thompson
Duane Thompson
Frederick Clifton Thomson
Courtney Thorne-Smith
T.J. Thyne
Lucas Till
Jennifer Tilly
Meg Tilly
Matthew Timmons
Franchot Tone
Tony Hale
Regis Toomey
Nico Tortorella
Thuy Trang
Treach
Spencer Treat Clark
Trevor Wright
Trish Van Devere
Bobby Troup
Charles Trowbridge
Verne Troyer
Ty Simpkins
Alanna Ubach
Blair Underwood
Michael Urie
Usher
Wilmer Valderrama
Jack Valenti
Valerie Bertinelli
Rudy Vallee
Mark Valley
Casper Van Dien
Steven Van Zandt
Vivian Vance
Jesse Ventura
Victor Sen Yung
Shangela Laquifa Wadley
Albertina Walker
Jon Walmsley
Lavinia Warren
Paul Weitz
Andrew West
Micah Stephen Williams
Paul Winfield
Kitty Winn
Charles Winninger
Mary-Elizabeth Winstead
Robert Wisdom
Anna May Wong
Ed Wood
Judith Wood
Matthew Wood
Peggy Wood
D.B. Woodside
Joanne Woodward
Alexander Woollcott
Robert Woolsey
Jo Anne Worley
J. Madison Wright
Jimmy Wright
Max Wright
Jane Wyatt
Adam Wylie
Keenan Wynn
Amy Yasbeck
